"Destination","FlightNumber","Code","Scheduled","Delay"
"Moscow","WZ 4322","DME","2023/10/23 12:40","Ontime"
"Milan","3F 245","MXP","2023/10/23 12:50","Ontime"
"Rome","W4 8336","FCO","2023/10/23 13:00","Ontime"
"Moscow","SU 1861","SVO","2023/10/23 13:50","Ontime"
"Novosibirsk","S7 5592","OVB","2023/10/23 14:55","Ontime"
"Moscow","SU 1867","SVO","2023/10/23 15:10","Ontime"
"St.Petersburg","FV 6924","LED","2023/10/23 15:55","Ontime"
"Mineralnye Vody","FV 6934","MRV","2023/10/23 16:00","Ontime"
"Moscow","JI 102","SVO","2023/10/23 16:30","Ontime"
"Moscow","G6 395","VKO","2023/10/23 16:45","Ontime"
"Tehran","QSM 2250","IKA","2023/10/23 17:00","Ontime"
"Moscow","3F 311","DME","2023/10/23 17:00","Ontime"
"Mineralnye Vody","A4 924","MRV","2023/10/23 17:30","Ontime"
"Kishinev","3F 533","KIV","2023/10/23 18:10","Ontime"
"Moscow","A4 510","VKO","2023/10/23 18:25","Ontime"
"Dusseldorf","EW 9153","DUS","2023/10/23 18:55","Ontime"
"Tehran","6A 221","IKA","2023/10/23 19:30","Ontime"
"St.Petersburg","FV 6926","LED","2023/10/23 20:05","Ontime"
"Moscow","SU 1863","SVO","2023/10/23 20:45","Ontime"
"Moscow","5G 709","SVO","2023/10/23 21:00","Ontime"
"Vienna","W4 2892","VIE","2023/10/23 21:00","Ontime"
"Milan","W6 5568","MXP","2023/10/23 21:40","Ontime"
"Doha","QR 288","DOH","2023/10/23 22:20","Ontime"
"Doha","IB 2412","DOH","2023/10/23 22:20","Ontime"
"Doha","LA 5291","DOH","2023/10/23 22:20","Ontime"
"Sochi","WZ 4330","AER","2023/10/23 22:35","Ontime"
"Mineralnye Vody","A4 630","MRV","2023/10/23 23:20","Ontime"
"Aktau","DV 846","SCO","2023/10/23 23:35","Ontime"
"Mineralnye Vody","WZ 4332","MRV","2023/10/23 23:40","Ontime"
"Moscow","SU 1869","SVO","2023/10/24 00:15","Ontime"
"Brussels","SN 2900","BRU","2023/10/24 00:50","Departed"
"Paris","3F 928","CDG","2023/10/22 23:10","Departed"
"Moscow","SU 1868","SVO","2023/10/22 23:15","Departed"
"Dusseldorf","3F 286","DUS","2023/10/22 23:20","Departed"
"Kishinev","3F 534","KIV","2023/10/22 23:30","Departed"
"Dubai","FZ 715","DXB","2023/10/22 23:50","Departed"
"Sochi","A4 429","AER","2023/10/23 00:25","Departed"
"Moscow","3F 312","DME","2023/10/23 00:30","Departed"
"Doha","QR 285","DOH","2023/10/23 00:50","Departed"
"Moscow","JI 103","SVO","2023/10/23 01:00","Departed"
"Moscow","UT 785","VKO","2023/10/23 01:25","Departed"
"Antalya","PC 556","AYT","2023/10/23 02:00","Departed"
"Frankfurt","DE 846","FRA","2023/10/23 02:10","Departed"
"Moscow","G6 404","DME","2023/10/23 03:15","Departed"
"Athens","A3 898","ATH","2023/10/23 03:20","Departed"
"Frankfurt","LH 1560","FRA","2023/10/23 03:40","Departed"
"Vienna","OS 641","VIE","2023/10/23 03:55","Departed"
"Vienna","LH 6446","VIE","2023/10/23 03:55","Departed"
"Vienna","UA 9827","VIE","2023/10/23 03:55","Departed"
"Moscow","G6 391","VKO","2023/10/23 04:05","Departed"
"Warsaw","LO 729","WAW","2023/10/23 04:25","Departed"
"Minsk","B2 733","MSQ","2023/10/23 05:05","Departed"
"Moscow","5G 712","SVO","2023/10/23 05:15","Departed"
"Moscow","SU 1966","SVO","2023/10/23 05:45","Departed"
"Moscow","3F 326","VKO","2023/10/23 09:00","Departed"
"Sochi","FV 6719","AER","2023/10/23 10:00","Departed"
"Larnaca","W6 4549","LCA","2023/10/23 10:25","Departed"
"St.Petersburg","3F 334","LED","2023/10/23 10:30","Departed"
"Dubai","FZ 717","DXB","2023/10/23 11:15","Departed"
"Abu Dhabi","5W 7013","AUH","2023/10/23 11:40","Departed"
"Moscow","WZ 4321","DME","2023/10/23 11:50","Departed"
"Rome","W4 8335","FCO","2023/10/23 12:25","Departed"
"Moscow","SU 1860","SVO","2023/10/23 12:50","Departed"
"Kapan","NAI 1002","RA1","2023/10/23 13:00","Delay"
"Novosibirsk","S7 5591","OVB","2023/10/23 14:00","Cancelled"
"Mineralnye Vody","FV 6933","MRV","2023/10/23 14:00","Departed"
"Moscow","SU 1866","SVO","2023/10/23 14:10","Boarding"
"Istanbul","3F 476","IST","2023/10/23 14:30","Boarding"
"St.Petersburg","FV 6923","LED","2023/10/23 14:55","Ontime"
"Mineralnye Vody","3F 362","MRV","2023/10/23 15:00","Ontime"
"Sochi","JI 123","AER","2023/10/23 15:30","Ontime"
"Moscow","G6 404","DME","2023/10/23 15:45","Ontime"
"Tehran","QSM 2251","IKA","2023/10/23 16:00","Ontime"
"Kishinev","3F 1867","KIV","2023/10/23 16:05","Ontime"
"Mineralnye Vody","A4 923","MRV","2023/10/23 16:40","Ontime"
"Moscow","3F 322","VKO","2023/10/23 17:10","Ontime"
"Nizhnekamsk","5G 773","NBC","2023/10/23 17:15","Ontime"
"Moscow","A4 509","VKO","2023/10/23 17:35","Ontime"
"Dusseldorf","EW 9152","DUS","2023/10/23 18:00","Ontime"
"St.Petersburg","FV 6925","LED","2023/10/23 19:10","Ontime"
"Moscow","SU 1862","SVO","2023/10/23 19:45","Ontime"
"Novosibirsk","3F 372","OVB","2023/10/23 20:00","Ontime"
"Vienna","W4 2891","VIE","2023/10/23 20:25","Ontime"
"Milan","W6 5567","MXP","2023/10/23 20:55","Ontime"
"Paris","AF 1060","CDG","2023/10/23 21:00","Ontime"
"Paris","DL 8722","CDG","2023/10/23 21:00","Ontime"
"Paris","KL 2447","CDG","2023/10/23 21:00","Ontime"
"Doha","QR 287","DOH","2023/10/23 21:20","Ontime"
"Sochi","WZ 4329","AER","2023/10/23 21:45","Ontime"
"Milan","3F 246","MXP","2023/10/23 22:20","Ontime"
"Mineralnye Vody","A4 629","MRV","2023/10/23 22:30","Ontime"
"Aktau","DV 845","SCO","2023/10/23 22:45","Ontime"
"Mineralnye Vody","WZ 4331","MRV","2023/10/23 22:50","Ontime"
"Moscow","SU 1868","SVO","2023/10/23 23:15","Ontime"
"Tehran","6A 222","IKA","2023/10/23 23:30","Ontime"
"Kishinev","3F 534","KIV","2023/10/23 23:30","Ontime"
"Brussels","SN 2899","BRU","2023/10/23 23:50","Ontime"
"Moscow","3F 312","DME","2023/10/24 00:30","Ontime"
"Doha","QR 285","DOH","2023/10/24 00:50","Ontime"
"Moscow","JI 103","SVO","2023/10/24 00:55","Ontime"
"Moscow","G6 396","VKO","2023/10/24 01:20","Ontime"
"Moscow","UT 785","VKO","2023/10/24 01:25","Ontime"
"Istanbul","PC 550","SAW","2023/10/24 02:35","Ontime"
"Warsaw","LO 727","WAW","2023/10/24 03:20","Ontime"
"Athens","A3 898","ATH","2023/10/24 03:20","Ontime"
"Vienna","OS 641","VIE","2023/10/24 03:55","Ontime"
"Vienna","LH 6446","VIE","2023/10/24 03:55","Ontime"
"Vienna","UA 9827","VIE","2023/10/24 03:55","Ontime"
"Sharm El Sheikh","SM 993","SSH","2023/10/24 04:35","Ontime"
"Moscow","5G 710","SVO","2023/10/24 05:00","Ontime"
"Batumi","JI 301","BUS","2023/10/24 05:00","Ontime"
"Moscow","SU 1966","SVO","2023/10/24 05:45","Ontime"
"Sharm El Sheikh","AMV 2112","SSH","2023/10/24 06:20","Ontime"
"Abu Dhabi","5W 7013","AUH","2023/10/24 08:50","Ontime"
"Moscow","3F 326","VKO","2023/10/24 09:00","Ontime"
"Beirut","ME 275","BEY","2023/10/24 09:45","Ontime"
"Sochi","FV 6719","AER","2023/10/24 10:00","Ontime"
"Sochi","WZ 4330","AER","2023/10/22 22:35","Ontime"
"Larnaca","W6 4550","LCA","2023/10/22 22:45","Ontime"
"Sofia","W6 4424","SOF","2023/10/22 22:50","Ontime"
"Moscow","WZ 4324","DME","2023/10/22 23:00","Ontime"
"Venice","W4 5484","VCE","2023/10/22 23:15","Ontime"
"Moscow","SU 1869","SVO","2023/10/23 00:15","Ontime"
"Dubai","FZ 716","DXB","2023/10/23 00:50","Ontime"
"St.Petersburg","3F 333","LED","2023/10/23 01:00","Ontime"
"Moscow","3F 325","VKO","2023/10/23 01:10","Ontime"
"Sochi","A4 430","AER","2023/10/23 01:15","Ontime"
"Moscow","UT 786","VKO","2023/10/23 02:45","Ontime"
"Antalya","PC 557","AYT","2023/10/23 02:55","Departed"
"Frankfurt","DE 847","FRA","2023/10/23 03:10","Departed"
"Doha","QR 286","DOH","2023/10/23 03:50","Departed"
"Doha","LA 5291","DOH","2023/10/23 03:50","Departed"
"Doha","IB 2412","DOH","2023/10/23 03:50","Departed"
"Athens","A3 899","ATH","2023/10/23 04:30","Departed"
"Frankfurt","LH 1561","FRA","2023/10/23 04:35","Departed"
"Vienna","OS 642","VIE","2023/10/23 04:45","Departed"
"Vienna","LH 6445","VIE","2023/10/23 04:45","Departed"
"Vienna","UA 9828","VIE","2023/10/23 04:45","Departed"
"Warsaw","LO 730","WAW","2023/10/23 05:30","Departed"
"Minsk","B2 734","MSQ","2023/10/23 05:55","Departed"
"Moscow","SU 1967","SVO","2023/10/23 06:45","Departed"
"Moscow","G6 403","DME","2023/10/23 07:30","Departed"
"Istanbul","3F 475","IST","2023/10/23 08:45","Departed"
"Moscow","3F 321","VKO","2023/10/23 09:10","Departed"
"Paris","AF 1061","CDG","2023/10/23 09:50","Departed"
"Paris","KL 2448","CDG","2023/10/23 09:50","Departed"
"Paris","DL 8723","CDG","2023/10/23 09:50","Departed"
"Kapan","NAI 1001","RA1","2023/10/23 10:00","Departed"
"Kishinev","3F 868","KIV","2023/10/23 10:00","Departed"
"Novosibirsk","3F 371","OVB","2023/10/23 10:00","Departed"
"Nizhnekamsk","5G 772","NBC","2023/10/23 10:15","Departed"
"Sochi","FV 6720","AER","2023/10/23 10:50","Departed"
"Larnaca","W6 4550","LCA","2023/10/23 11:00","Departed"
"Mineralnye Vody","3F 361","MRV","2023/10/23 11:20","Departed"
"Sochi","JI 122","AER","2023/10/23 11:50","Departed"
"Dubai","FZ 718","DXB","2023/10/23 12:10","Departed"
"Abu Dhabi","5W 7014","AUH","2023/10/23 12:15","Departed"
"Moscow","WZ 4322","DME","2023/10/23 12:40","Departed"
"Milan","3F 245","MXP","2023/10/23 12:50","Departed"
"Rome","W4 8336","FCO","2023/10/23 13:00","Departed"
"Moscow","SU 1861","SVO","2023/10/23 13:50","Delay"
"Novosibirsk","S7 5592","OVB","2023/10/23 14:55","Cancelled"
"Moscow","SU 1867","SVO","2023/10/23 15:10","Departed"
"St.Petersburg","FV 6924","LED","2023/10/23 15:55","Boarding"
"Mineralnye Vody","FV 6934","MRV","2023/10/23 16:00","Boarding"
"Moscow","JI 102","SVO","2023/10/23 16:30","Ontime"
"Moscow","G6 395","VKO","2023/10/23 16:45","Ontime"
"Tehran","QSM 2250","IKA","2023/10/23 17:00","Ontime"
"Moscow","3F 311","DME","2023/10/23 17:00","Ontime"
"Mineralnye Vody","A4 924","MRV","2023/10/23 17:30","Ontime"
"Kishinev","3F 533","KIV","2023/10/23 18:10","Ontime"
"Moscow","A4 510","VKO","2023/10/23 18:25","Ontime"
"Dusseldorf","EW 9153","DUS","2023/10/23 18:55","Ontime"
"Tehran","6A 221","IKA","2023/10/23 19:30","Ontime"
"St.Petersburg","FV 6926","LED","2023/10/23 20:05","Ontime"
"Moscow","SU 1863","SVO","2023/10/23 20:45","Ontime"
"Moscow","5G 709","SVO","2023/10/23 21:00","Ontime"
"Vienna","W4 2892","VIE","2023/10/23 21:00","Ontime"
"Milan","W6 5568","MXP","2023/10/23 21:40","Ontime"
"Doha","QR 288","DOH","2023/10/23 22:20","Ontime"
"Doha","IB 2412","DOH","2023/10/23 22:20","Ontime"
"Doha","LA 5291","DOH","2023/10/23 22:20","Ontime"
"Sochi","WZ 4330","AER","2023/10/23 22:35","Ontime"
"Mineralnye Vody","A4 630","MRV","2023/10/23 23:20","Ontime"
"Aktau","DV 846","SCO","2023/10/23 23:35","Ontime"
"Mineralnye Vody","WZ 4332","MRV","2023/10/23 23:40","Ontime"
"Moscow","SU 1869","SVO","2023/10/24 00:15","Ontime"
"Brussels","SN 2900","BRU","2023/10/24 00:50","Ontime"
"Moscow","3F 325","VKO","2023/10/24 01:10","Ontime"
"St.Petersburg","3F 333","LED","2023/10/24 01:10","Ontime"
"Batumi","JI 300","BUS","2023/10/24 02:00","Ontime"
"Moscow","UT 786","VKO","2023/10/24 02:45","Ontime"
"Doha","QR 286","DOH","2023/10/24 03:50","Ontime"
"Doha","IB 2412","DOH","2023/10/24 03:50","Ontime"
"Doha","LA 5291","DOH","2023/10/24 03:50","Ontime"
"Warsaw","LO 728","WAW","2023/10/24 04:20","Ontime"
"Athens","A3 899","ATH","2023/10/24 04:30","Ontime"
"Vienna","OS 642","VIE","2023/10/24 04:45","Ontime"
"Vienna","LH 6445","VIE","2023/10/24 04:45","Ontime"
"Vienna","UA 9828","VIE","2023/10/24 04:45","Ontime"
"Sharm El Sheikh","SM 994","SSH","2023/10/24 05:35","Ontime"
"Moscow","JI 104","SVO","2023/10/24 06:05","Ontime"
"Istanbul","PC 551","SAW","2023/10/24 06:35","Ontime"
"Moscow","SU 1967","SVO","2023/10/24 06:45","Ontime"
"Sharm El Sheikh","AMV 2113","SSH","2023/10/24 07:15","Ontime"
"Moscow","G6 403","DME","2023/10/24 07:30","Ontime"
"Tehran","3F 691","IKA","2023/10/24 07:40","Ontime"
"Abu Dhabi","5W 7014","AUH","2023/10/24 09:25","Ontime"
"Tbilisi","3F 583","TBS","2023/10/24 09:30","Ontime"
"Paris","DL 8723","CDG","2023/10/24 09:50","Ontime"
"Paris","AF 1061","CDG","2023/10/24 09:50","Ontime"
"Paris","KL 2448","CDG","2023/10/24 09:50","Ontime"
"Kishinev","3F 868","KIV","2023/10/24 10:00","Ontime"
"Beirut","ME 276","BEY","2023/10/24 10:45","Ontime"
"Moscow","SU 1860","SVO","2023/10/23 12:50","Departed"
"Kapan","NAI 1002","RA1","2023/10/23 13:00","Departed"
"Novosibirsk","S7 5591","OVB","2023/10/23 14:00","Departed"
"Mineralnye Vody","FV 6933","MRV","2023/10/23 14:00","Departed"
"Moscow","SU 1866","SVO","2023/10/23 14:10","Departed"
"Istanbul","3F 476","IST","2023/10/23 14:30","Departed"
"St.Petersburg","FV 6923","LED","2023/10/23 14:55","Departed"
"Mineralnye Vody","3F 362","MRV","2023/10/23 15:00","Departed"
"Sochi","JI 123","AER","2023/10/23 15:30","Departed"
"Moscow","G6 404","DME","2023/10/23 15:45","Departed"
"Tehran","QSM 2251","IKA","2023/10/23 16:00","Departed"
"Kishinev","3F 1867","KIV","2023/10/23 16:05","Departed"
"Mineralnye Vody","A4 923","MRV","2023/10/23 16:40","Departed"
"Moscow","3F 322","VKO","2023/10/23 17:10","Departed"
"Nizhnekamsk","5G 773","NBC","2023/10/23 17:15","Departed"
"Moscow","A4 509","VKO","2023/10/23 17:35","Cancelled"
"Dusseldorf","EW 9152","DUS","2023/10/23 18:00","Departed"
"St.Petersburg","FV 6925","LED","2023/10/23 19:10","Departed"
"Moscow","SU 1862","SVO","2023/10/23 19:45","Departed"
"Novosibirsk","3F 372","OVB","2023/10/23 20:00","Departed"
"Vienna","W4 2891","VIE","2023/10/23 20:25","Departed"
"Milan","W6 5567","MXP","2023/10/23 20:55","Departed"
"Paris","AF 1060","CDG","2023/10/23 21:00","Departed"
"Paris","DL 8722","CDG","2023/10/23 21:00","Departed"
"Paris","KL 2447","CDG","2023/10/23 21:00","Departed"
"Doha","QR 287","DOH","2023/10/23 21:20","24.10.23"
"Sochi","WZ 4329","AER","2023/10/23 21:45","Departed"
"Milan","3F 246","MXP","2023/10/23 22:20","Departed"
"Mineralnye Vody","A4 629","MRV","2023/10/23 22:30","Departed"
"Aktau","DV 845","SCO","2023/10/23 22:45","Boarding"
"Mineralnye Vody","WZ 4331","MRV","2023/10/23 22:50","Boarding"
"Moscow","SU 1868","SVO","2023/10/23 23:15","Delay"
"Tehran","6A 222","IKA","2023/10/23 23:30","Ontime"
"Kishinev","3F 534","KIV","2023/10/23 23:30","Ontime"
"Brussels","SN 2899","BRU","2023/10/23 23:50","Ontime"
"Moscow","3F 312","DME","2023/10/24 00:30","Ontime"
"Doha","QR 285","DOH","2023/10/24 00:50","Ontime"
"Moscow","JI 103","SVO","2023/10/24 00:55","Ontime"
"Moscow","G6 396","VKO","2023/10/24 01:20","Ontime"
"Moscow","UT 785","VKO","2023/10/24 01:25","Ontime"
"Istanbul","PC 550","SAW","2023/10/24 02:35","Ontime"
"Warsaw","LO 727","WAW","2023/10/24 03:20","Ontime"
"Athens","A3 898","ATH","2023/10/24 03:20","Ontime"
"Vienna","OS 641","VIE","2023/10/24 03:55","Ontime"
"Vienna","LH 6446","VIE","2023/10/24 03:55","Ontime"
"Vienna","UA 9827","VIE","2023/10/24 03:55","Ontime"
"Sharm El Sheikh","SM 993","SSH","2023/10/24 04:35","Ontime"
"Moscow","5G 710","SVO","2023/10/24 05:00","Ontime"
"Batumi","JI 301","BUS","2023/10/24 05:00","Ontime"
"Moscow","SU 1966","SVO","2023/10/24 05:45","Ontime"
"Moscow","UTA 785D","VKO","2023/10/24 06:00","Ontime"
"Sharm El Sheikh","AMV 2112","SSH","2023/10/24 06:20","Ontime"
"Abu Dhabi","5W 7013","AUH","2023/10/24 08:50","Cancelled"
"Moscow","3F 326","VKO","2023/10/24 09:00","Cancelled"
"Beirut","ME 275","BEY","2023/10/24 09:45","Cancelled"
"Sochi","FV 6719","AER","2023/10/24 10:00","Ontime"
"Sharjah","G9 246","SHJ","2023/10/24 11:05","Ontime"
"Dubai","FZ 717","DXB","2023/10/24 11:15","Ontime"
"St.Petersburg","3F 334","LED","2023/10/24 11:30","Cancelled"
"Larnaca","CY 414","LCA","2023/10/24 11:35","Ontime"
"Tbilisi","3F 584","TBS","2023/10/24 11:40","Ontime"
"Tehran","3F 692","IKA","2023/10/24 12:00","Ontime"
"Moscow","SU 1860","SVO","2023/10/24 12:50","Ontime"
"Mineralnye Vody","A4 929","MRV","2023/10/24 13:10","Ontime"
"Chelyabinsk","WZ 1225","CEK","2023/10/24 13:50","Ontime"
"Larnaca","W6 4557","LCA","2023/10/24 14:00","Ontime"
"Moscow","SU 1866","SVO","2023/10/24 14:10","Ontime"
"Yekaterinburg","SU 684","SVX","2023/10/24 14:15","Ontime"
"Moscow","WZ 4339","ZIA","2023/10/24 14:35","Ontime"
"Moscow","JI 105","SVO","2023/10/24 14:40","Ontime"
"Tehran","G6 302","IKA","2023/10/24 15:10","Ontime"
"Tehran","IRB 9724","IKA","2023/10/24 15:15","Ontime"
"Moscow","G6 404","DME","2023/10/24 15:45","Ontime"
"Paris","TO 7498","ORY","2023/10/24 15:55","Ontime"
"Kishinev","3F 1867","KIV","2023/10/24 16:05","Ontime"
"St.Petersburg","UT 793","LED","2023/10/24 16:15","Ontime"
"St.Petersburg","FV 6923","LED","2023/10/24 16:40","Ontime"
"Moscow","A4 509","VKO","2023/10/24 17:35","Ontime"
"Larnaca","3F 872","LCA","2023/10/24 17:50","Ontime"
"Moscow","5G 510","VKO","2023/10/24 19:20","Ontime"
"Moscow","SU 1862","SVO","2023/10/24 19:45","Ontime"
"Paris","AF 1060","CDG","2023/10/24 21:00","Ontime"
"Paris","DL 8722","CDG","2023/10/24 21:00","Ontime"
"Paris","KL 2447","CDG","2023/10/24 21:00","Ontime"
"Doha","QR 287","DOH","2023/10/24 21:00","Ontime"
"Rome","W4 8335","FCO","2023/10/24 21:50","Cancelled"
"Yekaterinburg","5G 151","SVX","2023/10/24 21:55","Ontime"
"Larnaca","W6 4549","LCA","2023/10/24 22:10","Ontime"
"Mineralnye Vody","A4 629","MRV","2023/10/24 22:30","Ontime"
"Sochi","3F 350","AER","2023/10/24 22:45","Ontime"
"Paris","3F 928","CDG","2023/10/24 22:50","Ontime"
"Ufa","A4 821","UFA","2023/10/24 23:05","Ontime"
"Moscow","SU 1868","SVO","2023/10/24 23:15","Ontime"
"Venice","W4 5483","VCE","2023/10/24 23:15","Ontime"
"Kishinev","3F 534","KIV","2023/10/24 23:30","Ontime"
"Dubai","FZ 715","DXB","2023/10/24 23:50","Departed"
"Tyumen","UT 875","TJM","2023/10/25 00:25","Departed"
"Sochi","A4 429","AER","2023/10/25 00:25","Departed"
"Moscow","3F 312","DME","2023/10/25 00:30","Departed"
"Milan","3F 245","MXP","2023/10/23 12:50","Departed"
"Rome","W4 8336","FCO","2023/10/23 13:00","Departed"
"Moscow","SU 1861","SVO","2023/10/23 13:50","Departed"
"Novosibirsk","S7 5592","OVB","2023/10/23 14:55","Departed"
"Moscow","SU 1867","SVO","2023/10/23 15:10","Departed"
"St.Petersburg","FV 6924","LED","2023/10/23 15:55","Departed"
"Mineralnye Vody","FV 6934","MRV","2023/10/23 16:00","Departed"
"Moscow","JI 102","SVO","2023/10/23 16:30","Departed"
"Moscow","G6 395","VKO","2023/10/23 16:45","Departed"
"Tehran","QSM 2250","IKA","2023/10/23 17:00","Departed"
"Moscow","3F 311","DME","2023/10/23 17:00","Departed"
"Mineralnye Vody","A4 924","MRV","2023/10/23 17:30","Cancelled"
"Kishinev","3F 533","KIV","2023/10/23 18:10","Departed"
"Moscow","A4 510","VKO","2023/10/23 18:25","Departed"
"Dusseldorf","EW 9153","DUS","2023/10/23 18:55","Departed"
"Tehran","6A 221","IKA","2023/10/23 19:30","Departed"
"St.Petersburg","FV 6926","LED","2023/10/23 20:05","Departed"
"Moscow","SU 1863","SVO","2023/10/23 20:45","Departed"
"Moscow","5G 709","SVO","2023/10/23 21:00","Departed"
"Vienna","W4 2892","VIE","2023/10/23 21:00","Departed"
"Milan","W6 5568","MXP","2023/10/23 21:40","Departed"
"Doha","QR 288","DOH","2023/10/23 22:20","24.10.23"
"Doha","IB 2412","DOH","2023/10/23 22:20","Departed"
"Doha","LA 5291","DOH","2023/10/23 22:20","Departed"
"Sochi","WZ 4330","AER","2023/10/23 22:35","Departed"
"Mineralnye Vody","A4 630","MRV","2023/10/23 23:20","Boarding"
"Aktau","DV 846","SCO","2023/10/23 23:35","Boarding"
"Mineralnye Vody","WZ 4332","MRV","2023/10/23 23:40","Delay"
"Moscow","SU 1869","SVO","2023/10/24 00:15","Ontime"
"Brussels","SN 2900","BRU","2023/10/24 00:50","Ontime"
"Moscow","3F 325","VKO","2023/10/24 01:10","Ontime"
"St.Petersburg","3F 333","LED","2023/10/24 01:10","Ontime"
"Batumi","JI 300","BUS","2023/10/24 02:00","Ontime"
"Moscow","UT 786","VKO","2023/10/24 02:45","Ontime"
"Doha","QR 286","DOH","2023/10/24 03:50","Ontime"
"Doha","IB 2412","DOH","2023/10/24 03:50","Ontime"
"Doha","LA 5291","DOH","2023/10/24 03:50","Ontime"
"Warsaw","LO 728","WAW","2023/10/24 04:20","Ontime"
"Athens","A3 899","ATH","2023/10/24 04:30","Ontime"
"Vienna","OS 642","VIE","2023/10/24 04:45","Ontime"
"Vienna","LH 6445","VIE","2023/10/24 04:45","Ontime"
"Vienna","UA 9828","VIE","2023/10/24 04:45","Ontime"
"Sharm El Sheikh","SM 994","SSH","2023/10/24 05:35","Ontime"
"Moscow","JI 104","SVO","2023/10/24 06:05","Ontime"
"Istanbul","PC 551","SAW","2023/10/24 06:35","Ontime"
"Moscow","SU 1967","SVO","2023/10/24 06:45","Ontime"
"Moscow","UTA 786D","VKO","2023/10/24 07:00","Ontime"
"Sharm El Sheikh","AMV 2113","SSH","2023/10/24 07:15","Ontime"
"Moscow","G6 403","DME","2023/10/24 07:30","Cancelled"
"Tehran","3F 691","IKA","2023/10/24 07:40","Cancelled"
"Abu Dhabi","5W 7014","AUH","2023/10/24 09:25","Cancelled"
"Tbilisi","3F 583","TBS","2023/10/24 09:30","Ontime"
"Paris","DL 8723","CDG","2023/10/24 09:50","Ontime"
"Paris","AF 1061","CDG","2023/10/24 09:50","Ontime"
"Paris","KL 2448","CDG","2023/10/24 09:50","Cancelled"
"Kishinev","3F 868","KIV","2023/10/24 10:00","Ontime"
"Beirut","ME 276","BEY","2023/10/24 10:45","Ontime"
"Sochi","FV 6720","AER","2023/10/24 10:50","Ontime"
"Moscow","5G 509","VKO","2023/10/24 11:00","Ontime"
"Tehran","G6 301","IKA","2023/10/24 11:30","Ontime"
"Sharjah","G9 247","SHJ","2023/10/24 11:55","Ontime"
"Dubai","FZ 718","DXB","2023/10/24 12:10","Ontime"
"Paris","3F 927","CDG","2023/10/24 12:30","Ontime"
"Larnaca","CY 415","LCA","2023/10/24 12:30","Ontime"
"Larnaca","3F 871","LCA","2023/10/24 12:50","Ontime"
"Moscow","SU 1861","SVO","2023/10/24 13:50","Ontime"
"Mineralnye Vody","A4 930","MRV","2023/10/24 14:00","Ontime"
"Yekaterinburg","5G 150","SVX","2023/10/24 14:00","Ontime"
"Larnaca","W6 4558","LCA","2023/10/24 14:35","Ontime"
"Chelyabinsk","WZ 1226","CEK","2023/10/24 14:40","Ontime"
"Moscow","SU 1867","SVO","2023/10/24 15:10","Ontime"
"Yekaterinburg","SU 685","SVX","2023/10/24 15:15","Ontime"
"Moscow","WZ 4340","ZIA","2023/10/24 15:25","Ontime"
"Tehran","IRB 9725","IKA","2023/10/24 16:15","Ontime"
"Paris","TO 7499","ORY","2023/10/24 16:50","Ontime"
"Moscow","3F 311","DME","2023/10/24 17:00","Ontime"
"St.Petersburg","G6 426","LED","2023/10/24 17:00","Ontime"
"St.Petersburg","UT 794","LED","2023/10/24 17:15","Ontime"
"St.Petersburg","FV 6924","LED","2023/10/24 17:35","Ontime"
"Kishinev","3F 533","KIV","2023/10/24 18:10","Ontime"
"Moscow","A4 510","VKO","2023/10/24 18:25","Ontime"
"Sochi","3F 349","AER","2023/10/24 18:50","Cancelled"
"Istanbul","JI 400","IST","2023/10/24 19:05","Ontime"
"Moscow","G6 405","DME","2023/10/24 20:20","Ontime"
"Moscow","SU 1863","SVO","2023/10/24 20:45","Ontime"
"Moscow","5G 709","SVO","2023/10/24 21:00","Ontime"
"Doha","QR 288","DOH","2023/10/24 22:00","Ontime"
"Doha","LA 5291","DOH","2023/10/24 22:00","Ontime"
"Doha","IB 2412","DOH","2023/10/24 22:00","Ontime"
"Rome","W4 8336","FCO","2023/10/24 22:25","Ontime"
"Larnaca","W6 4550","LCA","2023/10/24 22:45","Ontime"
"Mineralnye Vody","A4 630","MRV","2023/10/24 23:20","Departed"
"Venice","W4 5484","VCE","2023/10/24 23:50","Departed"
"Ufa","A4 822","UFA","2023/10/24 23:55","Departed"
"Moscow","SU 1869","SVO","2023/10/25 00:15","Departed"
"Mineralnye Vody","A4 629","MRV","2023/10/23 22:30","Departed"
"Tehran","6A 222","IKA","2023/10/23 23:30","Departed"
"Kishinev","3F 534","KIV","2023/10/23 23:30","Departed"
"Brussels","SN 2899","BRU","2023/10/23 23:50","Departed"
"Moscow","3F 312","DME","2023/10/24 00:30","Departed"
"Doha","QR 285","DOH","2023/10/24 00:50","Departed"
"Moscow","JI 103","SVO","2023/10/24 00:55","Departed"
"Moscow","G6 396","VKO","2023/10/24 01:20","Departed"
"Moscow","UT 785","VKO","2023/10/24 01:25","Departed"
"Istanbul","PC 550","SAW","2023/10/24 02:35","Departed"
"Warsaw","LO 727","WAW","2023/10/24 03:20","Departed"
"Athens","A3 898","ATH","2023/10/24 03:20","Departed"
"Vienna","OS 641","VIE","2023/10/24 03:55","Departed"
"Vienna","LH 6446","VIE","2023/10/24 03:55","Departed"
"Vienna","UA 9827","VIE","2023/10/24 03:55","Departed"
"Sharm El Sheikh","SM 993","SSH","2023/10/24 04:35","Departed"
